#Lookup table
#Automatically created on 09 June 2021 at 13:08:38

	30	40	50	60	70	80	90	100
30	46.993	48.247	49.37	50.356	51.331	52.461	53.805	55.242	
40	42.854	44.287	45.621	46.793	47.967	49.383	51.166	53.192	
50	37.598	39.408	41.14	42.6	43.944	45.506	47.525	49.95	
60	31.714	33.958	36.259	38.221	39.915	41.695	43.887	46.539	
70	25.942	28.106	30.708	33.158	35.357	37.561	40.07	42.96	
80	21.985	23.018	25.016	27.395	29.894	32.552	35.496	38.719	
